Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,2022/23,Record for the Receiving and Opening of Formal Tenders – 2022/23,,,Oudtshoorn Municipality,Request for Bid,Western Cape,Oudtshoorn,,,,,,,,,,,,http://oudtshoorn.gov.za,,Oudtshoorn
Municipal,2023/24,Record for the Receiving and Opening of Formal Tenders – 2023/24,,,Oudtshoorn Municipality,Request for Bid,Western Cape,Oudtshoorn,,,,,,,,,,,,http://oudtshoorn.gov.za,,Oudtshoorn
Municipal,2024/25,Record for the Receiving and Opening of Formal Tenders – 2024/25,,,Oudtshoorn Municipality,Request for Bid,Western Cape,Oudtshoorn,,,,,,,,,,,,http://oudtshoorn.gov.za,,Oudtshoorn
Municipal,2025/26,Record for the Receiving and Opening of Formal Tenders – 2025/26,,,Oudtshoorn Municipality,Request for Bid,Western Cape,Oudtshoorn,,,,,,,,,,,,http://oudtshoorn.gov.za,,Oudtshoorn
Municipal,RFQ Awards,RFQ Awards RFQ Awards 2022/2023 RFQ Awards for 2020/2021 Financial Year RFQ Awards For 2023/2024 Financial Year RFQ Awards for 2024/2025 Financial Year,,,Oudtshoorn Municipality,Request for Bid,Western Cape,Oudtshoorn,,,,,,,,,,,,http://oudtshoorn.gov.za,,Oudtshoorn
Municipal,RFQ Awards,RFQ Awards 2022/2023,,,Oudtshoorn Municipality,Request for Bid,Western Cape,Oudtshoorn,,,,,,,,,,,,http://oudtshoorn.gov.za,,Oudtshoorn
Municipal,RFQ Awards,RFQ Awards for 2020/2021 Financial Year,,,Oudtshoorn Municipality,Request for Bid,Western Cape,Oudtshoorn,,,,,,,,,,,,http://oudtshoorn.gov.za,,Oudtshoorn
Municipal,RFQ Awards,RFQ Awards For 2023/2024 Financial Year,,,Oudtshoorn Municipality,Request for Bid,Western Cape,Oudtshoorn,,,,,,,,,,,,http://oudtshoorn.gov.za,,Oudtshoorn
Municipal,RFQ Awards,RFQ Awards for 2024/2025 Financial Year,,,Oudtshoorn Municipality,Request for Bid,Western Cape,Oudtshoorn,,,,,,,,,,,,http://oudtshoorn.gov.za,,Oudtshoorn
Municipal,RFQ Opening,RFQ Opening Registers RFQ Opening Registers 2021/2022 Financial Year RFQ Opening Registers 2022/2023 Financial Year RFQ Opening Registers 2024/2025 Financial Year,,,Oudtshoorn Municipality,Request for Bid,Western Cape,Oudtshoorn,,,,,,,,,,,,http://oudtshoorn.gov.za,,Oudtshoorn
Municipal,RFQ Opening,RFQ Opening Registers 2021/2022 Financial Year,,,Oudtshoorn Municipality,Request for Bid,Western Cape,Oudtshoorn,,,,,,,,,,,,http://oudtshoorn.gov.za,,Oudtshoorn
Municipal,RFQ Opening,RFQ Opening Registers 2022/2023 Financial Year,,,Oudtshoorn Municipality,Request for Bid,Western Cape,Oudtshoorn,,,,,,,,,,,,http://oudtshoorn.gov.za,,Oudtshoorn
Municipal,RFQ Opening,RFQ Opening Registers 2024/2025 Financial Year,,,Oudtshoorn Municipality,Request for Bid,Western Cape,Oudtshoorn,,,,,,,,,,,,http://oudtshoorn.gov.za,,Oudtshoorn
Municipal,RFQ Register,RFQ Register 2019 / 20,,,Oudtshoorn Municipality,Request for Bid,Western Cape,Oudtshoorn,,,,,,,,,,,,http://oudtshoorn.gov.za,,Oudtshoorn
Municipal,SCM Reports,SCM Reports 2019 / 20,,,Oudtshoorn Municipality,Request for Bid,Western Cape,Oudtshoorn,,,,,,,,,,,,http://oudtshoorn.gov.za,,Oudtshoorn
