Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,MBH-7530,"Virtual Private Network & Internet Connection ,Wi-fi and Voice over internet protocol telephone system for a period of 3 years",05/12/2019,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/virtual-private-network-internet-connection-wi-fi-and-voice-over-internet-protocol-telephone-system-for-a-period-of-3-years/,7530,Mbhashe
Municipal,MBH-7528,Provision and deployment of Traffic management system,05/12/2019,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/provision-and-deployment-of-traffic-management-system/,7528,Mbhashe
Municipal,MBH-7525,Provision and deployment of Data Back-up Solution for a period of Three years,05/12/2019,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/provision-and-deployment-of-data-back-up-solution-for-a-period-of-three-years/,7525,Mbhashe
Municipal,MBH-7523,SUPPLY AND DELIVERY OF MICROSOFT LICENSES FOR A PERIOD OF THREE YEARS,05/12/2019,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/supply-and-delivery-of-microsoft-licenses-for-a-period-of-three-years/,7523,Mbhashe
Municipal,MBH-5315,Supply and delivery of Calendars and Diaries,05/12/2018,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/supply-and-delivery-of-calendars-and-diaries/,5315,Mbhashe
Municipal,MBH-5319,Hiring and Maintenance of Mobile Toilets,05/12/2018,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/hiring-and-maintenance-of-mobile-toilets/,5319,Mbhashe
Municipal,MBH-5317,Supply and Delivery of Camera Accessories,05/12/2018,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/supply-and-delivery-of-camera-accessories/,5317,Mbhashe
Municipal,MBH-3490,Media Statement Press Briefing,05/12/2016,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/media-statement-press-briefing/,3490,Mbhashe
Municipal,MBH-7460,SUPPLY AND DELIVERY OF LIFE GUARDS EQUIPMENT,05/11/2019,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/supply-and-delivery-of-life-guards-equipment-3/,7460,Mbhashe
Municipal,MBH-7456,PROPOSALS FOR DEVELOPMENT OF ICT MASTER PLAN,05/11/2019,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/proposals-for-development-of-ict-master-plan/,7456,Mbhashe
Municipal,MBH-7352,Upgrade of Elliotdale Land site,05/09/2019,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/upgrade-of-elliotdale-land-site/,7352,Mbhashe
Municipal,MBH-10498,Electrification of Ntsimbakazi to Shixini on Turnkey for a period of two & Half years,05/09/2019,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/electrification-of-ntsimbakazi-to-shixini-on-turnkey-for-a-period-of-two-half-years-2/,10498,Mbhashe
Municipal,MBH-7350,Electrification of Ntsimbakazi to Shixini on Turnkey for a period of two & Half years,05/09/2019,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/electrification-of-ntsimbakazi-to-shixini-on-turnkey-for-a-period-of-two-half-years/,7350,Mbhashe
Municipal,MBH-7347,Construction of Nohesha to Matyhameni Access Road,05/09/2019,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/construction-of-nohesha-to-matyhameni-access-road-2/,7347,Mbhashe
Municipal,MBH-7343,Construction of Town to Ntlulabokhwe Access Road,05/09/2019,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/construction-of-town-to-ntlulabokhwe-access-road-2/,7343,Mbhashe
Municipal,MBH-7340,Construction of Mbelo and Mqhele to Mrhabe Access Road,05/09/2019,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/construction-of-mbelo-and-mqhele-to-mrhabe-access-road/,7340,Mbhashe
Municipal,MBH-17518,"IDP, Budget and PMS Rep Forum Meetings",05/08/2025,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/idp-budget-and-pms-rep-forum-meetings/,17518,Mbhashe
Municipal,MBH-17515,2025/2026 Final Service Delivery And Budget Implementation Plan (SDBIP),05/08/2025,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/2025-2026-final-service-delivery-and-budget-implementation-plan-sdbip/,17515,Mbhashe
Municipal,MBH-7250,SUPPLY AND DELIVERY OF PROTECTIVE CLOTHING,05/08/2019,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/supply-ad-delivery-of-protective-clothing/,7250,Mbhashe
Municipal,MBH-3743,Supply and Delivery of Baking Equipment,05/08/2016,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/supply-and-delivery-of-baking-equipment/,3743,Mbhashe
Municipal,MBH-3117,Proposals for Electrical Professional Service Providers for Electrication of Households (INEP Programme) on Turnkey basis,05/08/2016,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/proposals-for-electrical-professional-service-providers-for-electrication-of-households-inep-programme-on-turnkey-basis/,3117,Mbhashe
