Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,Register-133-2025,Opening Register 133 2025,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Opening-Register-BEYSCM-596,Opening Register BEYSCM 596,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Opening-Register-BEYSCM-595,Opening Register BEYSCM 595,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Opening-Register-BEYSCM-594,Opening Register BEYSCM 594,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Opening-REgister-BEYSCM-593,Opening REgister BEYSCM 593,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,REGISTER-17-2025,OPENING REGISTER 17 2025 RE ADVERTISEMENT,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Register-110-2025,OPening Register 110 2025,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,BEY-SCM-596,BEY SCM 596 Sewarage Repairs,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Opening-Register-BEYSCM-591,Opening Register BEYSCM 591,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Opening-Register-BEYSCM-592,Opening Register BEYSCM 592,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,BEY-SCM-595,BEY SCM 595 Hand Tools,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,BEY-SCM-594,BEY SCM 594 Cleaning Equipment,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,BEY-SCM-593,BEY SCM 593 Automotive Lubricants,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,BEY-SCM-592,BEY SCM 592 Circuit Breakers,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,REGISTER-132-2025,OPENING REGISTER 132 2025 003,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,BEY-SCM-591,BEY SCM 591 Creosote Wood Poles,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Register-54-2025,Opening Register 54 2025 RE ADVERTISEMENT,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Tender-123-2025,Opening Register Tender 123 2025,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Register-121-2025,Opening Register 121 2025,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Tender-133-2025,Tender 133 2025 Cash In Transit Full Advert,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Tender-110-2025,Tender 110 2025 Caravan Park Lease Full Advert,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,OPening-Register-BEYSCM-588,OPening Register BEYSCM 588,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Opening-Register-BEYSCM-587,Opening Register BEYSCM 587,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Opening-RegisterBEYSCM-589,Opening RegisterBEYSCM 589,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Opening-Register-BEYSCM-590,Opening Register BEYSCM 590,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Register-114-2025,Tender Opening Register 114 2025,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Register-113-2025,Tender Opening Register 113 2025,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,BEY-SCM-589,BEY SCM 589 Antivirus,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,BEY-SCM-588,BEY SCM 588 Road Marking Paint,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,BEY-SCM-590,BEY SCM 590 Grader Blades,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Tender-121-2025,Tender 121 2025 Repair of Cherry Picker Full Advert,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,BEY-SCM-587,BEY SCM 587 Medical Surveillance Services,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Opening-Register-BEYSCM-586,Opening Register BEYSCM 586,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Tender-123-2025,Tender 123 2025 Informal Settlements Full Advert,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,BEY-SCM-586,BEY SCM 586 Repair Sewerage Trailers,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Tender-114-2025,Tender 114 2025 Computer Equipment Full Advert,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
Municipal,Tender-113-2025,Tender 113 2025 Water Reticulation Material Full Advert,,,Beyers Naude Local Municipality,Request for Bid,Eastern Cape,"Graaff-Reinet, Jansenville, Klipplaat",,,,,,,,,,,,https://bnlm.gov.za/documents/tenders/,,Beyers Naude
